timestamp	datetime	cpu_freq_max	cpu_freq_avg	cpu_temp	cpu_usage	pkg_w	core_w	uncore_w	dram_w	th_thermal	th_power	th_current	th_vr_th	th_vr_cur	pl1	pl2	bd_prochot	gpu_util	gpu_temp	gpu_power	mem_used	mem_total	mem_pct	net_rx	net_tx	disk_read	disk_write
1787374905.0901062	13:01:45	1839	579.375	27.8	0.9509046181053957	2.9742837946599727	1.1366131719339831	0.0	0.5251947260496017	0	0	0	0	0	False	False	False	0	41.0	0	2160	11830	18.258664412510566	0	0	0	0
1787374935.1254785	13:02:15	2930	854.625	27.8	0.8267579263088145	2.9584852004973428	1.0980733276580876	0.0	0.5251293011388877	0	0	0	0	0	False	False	False	0	42.0	0	2154	11830	18.20794590025359	0	0	0	0
1787374965.1498713	13:02:45	400	400.0	27.8	0.925754711452581	2.965978711593296	1.1436779392890044	0.0	0.5258323741458593	0	0	0	0	0	False	False	False	20.0	41.0	0	2159	11830	18.250211327134405	0	0	0	0
1787374995.1857278	13:03:15	637	450.5	27.8	0.8257038088393329	2.901506041824866	1.124174696192124	0.0	0.5256888154257517	0	0	0	0	0	False	False	False	1.0	39.0	0	2152	11830	18.19103972950127	0	0	0	0
1787375025.2168286	13:03:45	2929	1110.75	27.8	0.8514034056136238	2.907229008542373	1.1535996470117373	0.0	0.5251307121932809	0	0	0	0	0	False	False	False	20.0	38.0	0	2148	11830	18.15722738799662	0	0	0	0
1787375055.2527933	13:04:15	400	400.0	27.8	0.851403208022472	2.8623499324537054	1.1406945596524394	0.0	0.5256555504341467	0	0	0	0	0	False	False	False	13.0	39.0	0	2160	11830	18.258664412510566	0	0	0	0
1787375085.2820933	13:04:45	2141	901.75	27.8	0.8264545118421451	2.876116429330261	1.1258184994226512	0.0	0.5254583603500635	0	0	0	0	0	False	False	False	20.0	40.0	0	2163	11830	18.284023668639055	0	0	0	0
1787375115.3184168	13:05:15	1990	750.375	27.8	0.7274086325260984	2.963776749103868	1.1160834008985225	0.0	0.525742854725075	0	0	0	0	0	False	False	False	0	45.0	0	2179	11830	18.41927303465765	0	0	0	0
1787375145.3483217	13:05:45	875	459.375	27.8	0.8266054196746919	2.970497809250974	1.1377314883873235	0.0	0.525220643150706	0	0	0	0	0	False	False	False	0	42.0	0	2162	11830	18.27557058326289	0	0	0	0
1787375175.3831344	13:06:15	1822	602.0	27.8	0.8011060164722597	2.879988328689295	1.1366103357225683	0.0	0.5259282695846172	0	0	0	0	0	False	False	False	0	39.0	0	2159	11830	18.250211327134405	0	0	0	0
1787375205.4094064	13:06:45	1112	525.875	27.8	1.4290748698459241	3.4106801616090943	2.927493481934837	0.0	0.6154841608871032	0	0	0	0	0	False	False	False	5.0	42.0	0	2164	11830	18.292476754015215	0	0	0	0
1787375235.445442	13:07:15	3400	2477.375	27.8	4.300337213492752	6.019939627713555	4.882796629858986	0.0	0.7926081362775602	0	0	0	0	0	False	False	False	33.0	48.0	0	2179	11830	18.41927303465765	0	0	0	0
1787375265.4725296	13:07:45	2675	990.5	27.8	1.9656372459388407	5.147621138104627	3.393186213721662	0.0	0.6461084135483139	0	0	0	0	0	False	False	False	0	47.0	0	2110	11830	17.836010143702453	0	0	0	0
1787375348.0372646	13:09:08	3400	3024.625	27.8	0.0	0	0	0	0	0	0	0	0	0	False	False	False	0	0	0	1534	11830	12.967032967032969	0	0	0	0
1787375383.0395367	13:09:43	3400	1368.0	27.8	0.5280043367083515	3.224163978472628	8.221409129101303	0.3123151306222453	0.834959630309716	0	0	0	0	0	False	False	False	0	0	0	2190	11830	18.512256973795434	0	0	0	0
1787375413.0683618	13:10:13	3400	2415.25	27.8	5.375665502869384	9.081131842813587	5.6116747964702896	2.1174003473485037	1.3447684176105814	0	0	0	0	0	False	False	False	0	0	0	1960	11830	16.56804733727811	0	0	0	0
1787375443.0857077	13:10:43	3400	2036.625	27.8	10.210696150842498	11.450955066447467	6.185068344989407	2.520393381825576	1.4593413190111242	0	0	0	0	0	False	False	False	0	0	0	1968	11830	16.635672020287405	0	0	0	0
1787375473.1208966	13:11:13	3219	1333.875	27.8	5.063260363550752	9.509174128248201	4.811505100455142	2.547391763550144	1.3884148030059795	0	0	0	0	0	False	False	False	0	0	0	1925	11830	16.272189349112427	0	0	0	0
1787375503.1406257	13:11:43	3401	2730.0	27.8	5.300160669347212	9.366295475833038	5.82793529541125	2.519598210853244	1.4264768705116957	0	0	0	0	0	False	False	False	0	0	0	2108	11830	17.819103972950128	0	0	0	0
1787375533.172951	13:12:13	3399	891.125	27.8	6.962452608428421	9.791594925131948	5.680093324109597	2.4720599369982166	1.4262389112777347	0	0	0	0	0	False	False	False	0	0	0	1951	11830	16.491969568892646	0	0	0	0
1787375563.1980338	13:12:43	3400	2769.75	27.8	14.527117761015516	12.682379837454404	5.741395517983885	2.4438803759611005	1.398241814767017	0	0	0	0	0	False	False	False	0	0	0	2102	11830	17.768385460693153	0	0	0	0
1787375593.2344341	13:13:13	3400	2895.875	27.8	8.321724512577477	10.468770889430528	6.920116337071297	2.5765560526988622	1.531451798540274	0	0	0	0	0	False	False	False	0	0	0	2146	11830	18.140321217244292	0	0	0	0
1787375623.2597458	13:13:43	3402	3025.125	27.8	8.935248064600563	11.886300049500795	7.423285413185291	2.661446136207176	1.5340189198303233	0	0	0	0	0	False	False	False	0	0	0	1974	11830	16.68639053254438	0	0	0	0
1787375653.2959816	13:14:13	3400	3014.875	27.8	9.424969785321275	11.513987968044109	7.877652951354171	2.409255797888547	1.4995169959071462	0	0	0	0	0	False	False	False	0	0	0	1976	11830	16.7032967032967	0	0	0	0
1787375683.325721	13:14:43	3399	2034.25	27.8	9.523807600445839	13.112698213030209	7.171705947232713	2.562852487821364	1.469081042232972	0	0	0	0	0	False	False	False	0	0	0	2066	11830	17.46407438715131	0	0	0	0
1787375713.3580837	13:15:13	3400	2497.875	27.8	5.0947674981532005	10.539216892634553	8.297226646835938	2.470622914135835	1.4419390732038482	0	0	0	0	0	False	False	False	0	0	0	2090	11830	17.666948436179204	0	0	0	0
1787375743.3806343	13:15:43	3400	2500.0	27.8	5.219357991662628	11.615638573359039	5.996375099324058	2.47352045955008	1.40759012813259	0	0	0	0	0	False	False	False	0	0	0	2247	11830	18.994082840236686	0	0	0	0
1787375773.4163268	13:16:13	3400	1868.5	27.8	7.999687488254258	11.200695346876195	5.490101029204011	2.549306549603947	1.3763035889598947	0	0	0	0	0	False	False	False	0	0	0	2231	11830	18.85883347421809	0	0	0	0
1787375803.438331	13:16:43	3400	2220.625	27.8	7.457374133049881	10.756046810518555	5.238710949070101	2.5721586587218828	1.3548012969269618	0	0	0	0	0	False	False	False	0	0	0	2200	11830	18.59678782755706	0	0	0	0
1787375833.4758356	13:17:13	2280	635.0	27.8	0.8811649281448217	3.969485491198939	3.190054879952138	0.28200045734958223	0.6641622309070988	0	0	0	0	0	False	False	False	0	0	0	2073	11830	17.523245984784445	0	0	0	0
